epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1650900796464,2022-04-25T11:33:16.464,36.481,98453.922
1650900796725,2022-04-25T11:33:16.725,36.742,98460.734
1650900796985,2022-04-25T11:33:16.985,37.002,98459.914
1650900797246,2022-04-25T11:33:17.246,37.263,98452.938
1650900797505,2022-04-25T11:33:17.505,37.522,98459.438
1650900797766,2022-04-25T11:33:17.766,37.783,98458.609
1650900798027,2022-04-25T11:33:18.027,38.044,98458.141
1650900798288,2022-04-25T11:33:18.288,38.305,98455.539
1650900798548,2022-04-25T11:33:18.548,38.565,98450.016
1650900798809,2022-04-25T11:33:18.809,38.826,98451.641
1650900799070,2022-04-25T11:33:19.070,39.087,98452.625
1650900799330,2022-04-25T11:33:19.330,39.347,98450.336
1650900799590,2022-04-25T11:33:19.590,39.607,98450.016
1650900799850,2022-04-25T11:33:19.850,39.867,98444.828
1650900800111,2022-04-25T11:33:20.111,40.128,98449.039
1650900800372,2022-04-25T11:33:20.372,40.389,98450.813
1650900800633,2022-04-25T11:33:20.633,40.650,98449.516
1650900800893,2022-04-25T11:33:20.893,40.910,98454.234
1650900801154,2022-04-25T11:33:21.154,41.171,98450.016
1650900801415,2022-04-25T11:33:21.415,41.432,98449.516
1650900801676,2022-04-25T11:33:21.676,41.693,98451.641
1650900801935,2022-04-25T11:33:21.935,41.952,98452.625
1650900802196,2022-04-25T11:33:22.196,42.213,98457.313
1650900802456,2022-04-25T11:33:22.456,42.473,98447.422
1650900802717,2022-04-25T11:33:22.717,42.734,98450.016
1650900802978,2022-04-25T11:33:22.978,42.995,98455.539
1650900803239,2022-04-25T11:33:23.239,43.256,98448.219
1650900803499,2022-04-25T11:33:23.499,43.516,98450.813
1650900803760,2022-04-25T11:33:23.760,43.777,98453.414
1650900804021,2022-04-25T11:33:24.021,44.038,98448.219
1650900804280,2022-04-25T11:33:24.280,44.297,98447.922
1650900804541,2022-04-25T11:33:24.541,44.558,98448.719
1650900804802,2022-04-25T11:33:24.802,44.819,98452.625
1650900805062,2022-04-25T11:33:25.062,45.079,98452.625
1650900805323,2022-04-25T11:33:25.323,45.340,98447.922
1650900805584,2022-04-25T11:33:25.584,45.601,98452.117
1650900805845,2022-04-25T11:33:25.845,45.862,98453.922
1650900806105,2022-04-25T11:33:26.105,46.122,98453.414
1650900806366,2022-04-25T11:33:26.366,46.383,98453.922
1650900806627,2022-04-25T11:33:26.627,46.644,98447.922
1650900806886,2022-04-25T11:33:26.886,46.903,98451.320
1650900807147,2022-04-25T11:33:27.147,47.164,98453.414
1650900807408,2022-04-25T11:33:27.408,47.425,98457.813
1650900807668,2022-04-25T11:33:27.668,47.685,98456.516
1650900807929,2022-04-25T11:33:27.929,47.946,98459.117
1650900808190,2022-04-25T11:33:28.190,48.207,98456.234
1650900808451,2022-04-25T11:33:28.451,48.468,98460.922
1650900808710,2022-04-25T11:33:28.710,48.727,98457.031
1650900808971,2022-04-25T11:33:28.971,48.988,98456.234
1650900809231,2022-04-25T11:33:29.231,49.248,98457.031
1650900809492,2022-04-25T11:33:29.492,49.509,98459.813
1650900809753,2022-04-25T11:33:29.753,49.770,98455.719
1650900810014,2022-04-25T11:33:30.014,50.031,98458.828
1650900810274,2022-04-25T11:33:30.274,50.291,98457.211
1650900810535,2022-04-25T11:33:30.535,50.552,98458.328
1650900810796,2022-04-25T11:33:30.796,50.813,98451.828
1650900811055,2022-04-25T11:33:31.055,51.072,98455.406
1650900811316,2022-04-25T11:33:31.316,51.333,98453.633
1650900811577,2022-04-25T11:33:31.577,51.594,98463.516
1650900811837,2022-04-25T11:33:31.837,51.854,98461.719
1650900812098,2022-04-25T11:33:32.098,52.115,98458.828
1650900812359,2022-04-25T11:33:32.359,52.376,98453.633
1650900812620,2022-04-25T11:33:32.620,52.637,98454.609
1650900812880,2022-04-25T11:33:32.880,52.897,98457.531
1650900813141,2022-04-25T11:33:33.141,53.158,98459.813
1650900813400,2022-04-25T11:33:33.400,53.417,98457.211
1650900813661,2022-04-25T11:33:33.661,53.678,98458.328
1650900813922,2022-04-25T11:33:33.922,53.939,98453.313
1650900814183,2022-04-25T11:33:34.183,54.200,98455.914
1650900814443,2022-04-25T11:33:34.443,54.460,98456.703
1650900814704,2022-04-25T11:33:34.704,54.721,98454.930
1650900814965,2022-04-25T11:33:34.965,54.982,98459.813
1650900815225,2022-04-25T11:33:35.225,55.242,98460.602
1650900815485,2022-04-25T11:33:35.485,55.502,98459.813
1650900815746,2022-04-25T11:33:35.746,55.763,98458.508
1650900816006,2022-04-25T11:33:36.006,56.023,98454.109
1650900816267,2022-04-25T11:33:36.267,56.284,98454.422
1650900816528,2022-04-25T11:33:36.528,56.545,98457.031
1650900816788,2022-04-25T11:33:36.788,56.805,98449.414
1650900817049,2022-04-25T11:33:37.049,57.066,98452.805
1650900817310,2022-04-25T11:33:37.310,57.327,98452.016
1650900817571,2022-04-25T11:33:37.571,57.588,98452.016
1650900817830,2022-04-25T11:33:37.830,57.847,98452.516
1650900818091,2022-04-25T11:33:38.091,58.108,98457.211
1650900818351,2022-04-25T11:33:38.351,58.368,98454.609
1650900818612,2022-04-25T11:33:38.612,58.629,98452.016
1650900818873,2022-04-25T11:33:38.873,58.890,98455.406
1650900819134,2022-04-25T11:33:39.134,59.151,98453.633
1650900819394,2022-04-25T11:33:39.394,59.411,98448.117
1650900819655,2022-04-25T11:33:39.655,59.672,98451.508
1650900819914,2022-04-25T11:33:39.914,59.931,98454.930
1650900820177,2022-04-25T11:33:40.177,60.194,98452.016
1650900820436,2022-04-25T11:33:40.436,60.453,98454.609
1650900820697,2022-04-25T11:33:40.697,60.714,98455.406
1650900820957,2022-04-25T11:33:40.957,60.974,98453.313
1650900821218,2022-04-25T11:33:41.218,61.235,98453.813
1650900821479,2022-04-25T11:33:41.479,61.496,98452.016
1650900821740,2022-04-25T11:33:41.740,61.757,98458.508
1650900822000,2022-04-25T11:33:42.000,62.017,98454.609
1650900822260,2022-04-25T11:33:42.260,62.277,98455.914
1650900822520,2022-04-25T11:33:42.520,62.537,98450.422
1650900822781,2022-04-25T11:33:42.781,62.798,98453.813
1650900823042,2022-04-25T11:33:43.042,63.059,98455.117
1650900823303,2022-04-25T11:33:43.303,63.320,98452.016
1650900823563,2022-04-25T11:33:43.563,63.580,98458.219
1650900823824,2022-04-25T11:33:43.824,63.841,98453.633
1650900824085,2022-04-25T11:33:44.085,64.102,98454.609
1650900824346,2022-04-25T11:33:44.346,64.363,98458.508
1650900824605,2022-04-25T11:33:44.605,64.622,98457.719
1650900824866,2022-04-25T11:33:44.866,64.883,98462.406
1650900825126,2022-04-25T11:33:45.126,65.143,98452.203
1650900825387,2022-04-25T11:33:45.387,65.404,98458.219
1650900825648,2022-04-25T11:33:45.648,65.665,98455.305
1650900825909,2022-04-25T11:33:45.909,65.926,98454.328
1650900826169,2022-04-25T11:33:46.169,66.186,98460.000
1650900826430,2022-04-25T11:33:46.430,66.447,98462.125
1650900826691,2022-04-25T11:33:46.691,66.708,98457.398
1650900826950,2022-04-25T11:33:46.950,66.967,98458.219
1650900827211,2022-04-25T11:33:47.211,67.228,98456.602
1650900827472,2022-04-25T11:33:47.472,67.489,98461.609
1650900827732,2022-04-25T11:33:47.732,67.749,98458.883
1650900827993,2022-04-25T11:33:47.993,68.010,98460.500
1650900828254,2022-04-25T11:33:48.254,68.271,98461.805
1650900828515,2022-04-25T11:33:48.515,68.532,98460.313
1650900828775,2022-04-25T11:33:48.775,68.792,98458.703
1650900829035,2022-04-25T11:33:49.035,69.052,98458.703
1650900829295,2022-04-25T11:33:49.295,69.312,98458.219
1650900829556,2022-04-25T11:33:49.556,69.573,98456.602
1650900829817,2022-04-25T11:33:49.817,69.834,98458.406
1650900830078,2022-04-25T11:33:50.078,70.095,98459.203
1650900830338,2022-04-25T11:33:50.338,70.355,98459.203
1650900830599,2022-04-25T11:33:50.599,70.616,98462.125
1650900830860,2022-04-25T11:33:50.860,70.877,98454.008
1650900831121,2022-04-25T11:33:51.121,71.138,98462.125
1650900831380,2022-04-25T11:33:51.380,71.397,98457.906
1650900831641,2022-04-25T11:33:51.641,71.658,98460.500
1650900831901,2022-04-25T11:33:51.901,71.918,98464.398
1650900832162,2022-04-25T11:33:52.162,72.179,98462.125
1650900832423,2022-04-25T11:33:52.423,72.440,98454.797
1650900832684,2022-04-25T11:33:52.684,72.701,98460.000
1650900832944,2022-04-25T11:33:52.944,72.961,98456.094
1650900833205,2022-04-25T11:33:53.205,73.222,98454.797
1650900833466,2022-04-25T11:33:53.466,73.483,98456.602
1650900833726,2022-04-25T11:33:53.726,73.743,98458.219
1650900833986,2022-04-25T11:33:53.986,74.003,98454.008
1650900834246,2022-04-25T11:33:54.246,74.263,98454.008
1650900834507,2022-04-25T11:33:54.507,74.524,98451.086
1650900834768,2022-04-25T11:33:54.768,74.785,98460.500
