epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1636988787003,2021-11-15T10:06:27.003,33.789,98874.859
1636988787140,2021-11-15T10:06:27.140,33.926,98882.875
1636988787274,2021-11-15T10:06:27.274,34.060,98878.289
1636988787411,2021-11-15T10:06:27.411,34.197,98877.719
1636988787547,2021-11-15T10:06:27.547,34.333,98878.867
1636988787682,2021-11-15T10:06:27.682,34.468,98873.703
1636988787818,2021-11-15T10:06:27.818,34.604,98876.375
1636988787953,2021-11-15T10:06:27.953,34.739,98876.375
1636988788089,2021-11-15T10:06:28.089,34.875,98875.828
1636988788225,2021-11-15T10:06:28.225,35.011,98876.375
1636988788360,2021-11-15T10:06:28.360,35.146,98877.172
1636988788496,2021-11-15T10:06:28.496,35.282,98879.047
1636988788632,2021-11-15T10:06:28.632,35.418,98874.281
1636988788767,2021-11-15T10:06:28.767,35.553,98877.172
1636988788903,2021-11-15T10:06:28.903,35.689,98877.719
1636988789038,2021-11-15T10:06:29.038,35.824,98875.250
1636988789174,2021-11-15T10:06:29.174,35.960,98879.266
1636988789310,2021-11-15T10:06:29.310,36.096,98875.250
1636988789445,2021-11-15T10:06:29.445,36.231,98874.281
1636988789581,2021-11-15T10:06:29.581,36.367,98880.602
1636988789718,2021-11-15T10:06:29.718,36.504,98876.016
1636988789852,2021-11-15T10:06:29.852,36.638,98875.250
1636988789989,2021-11-15T10:06:29.989,36.775,98878.688
1636988790125,2021-11-15T10:06:30.125,36.911,98876.594
1636988790260,2021-11-15T10:06:30.260,37.046,98879.477
1636988790396,2021-11-15T10:06:30.396,37.182,98872.797
1636988790531,2021-11-15T10:06:30.531,37.317,98874.133
1636988790667,2021-11-15T10:06:30.667,37.453,98882.148
1636988790803,2021-11-15T10:06:30.803,37.589,98877.930
1636988790938,2021-11-15T10:06:30.938,37.724,98875.469
1636988791074,2021-11-15T10:06:31.074,37.860,98878.898
1636988791210,2021-11-15T10:06:31.210,37.996,98876.805
1636988791345,2021-11-15T10:06:31.345,38.131,98874.313
1636988791481,2021-11-15T10:06:31.481,38.267,98884.250
1636988791616,2021-11-15T10:06:31.616,38.402,98887.672
1636988791752,2021-11-15T10:06:31.752,38.538,98879.656
1636988791889,2021-11-15T10:06:31.889,38.675,98879.477
1636988792023,2021-11-15T10:06:32.023,38.809,98877.203
1636988792160,2021-11-15T10:06:32.160,38.946,98875.656
1636988792296,2021-11-15T10:06:32.296,39.082,98879.109
1636988792431,2021-11-15T10:06:32.431,39.217,98880.453
1636988792567,2021-11-15T10:06:32.567,39.353,98875.109
1636988792703,2021-11-15T10:06:32.703,39.489,98879.656
1636988792838,2021-11-15T10:06:32.838,39.624,98879.875
1636988792974,2021-11-15T10:06:32.974,39.760,98873.773
1636988793109,2021-11-15T10:06:33.109,39.895,98879.109
1636988793245,2021-11-15T10:06:33.245,40.031,98879.109
1636988793381,2021-11-15T10:06:33.381,40.167,98882.766
1636988793516,2021-11-15T10:06:33.516,40.302,98877.203
1636988793652,2021-11-15T10:06:33.652,40.438,98881.422
1636988793788,2021-11-15T10:06:33.788,40.574,98879.875
1636988793923,2021-11-15T10:06:33.923,40.709,98873.773
1636988794059,2021-11-15T10:06:34.059,40.845,98873.195
1636988794196,2021-11-15T10:06:34.196,40.982,98879.516
1636988794330,2021-11-15T10:06:34.330,41.116,98881.422
1636988794467,2021-11-15T10:06:34.467,41.253,98875.859
1636988794601,2021-11-15T10:06:34.601,41.387,98880.844
1636988794738,2021-11-15T10:06:34.738,41.524,98876.625
1636988794874,2021-11-15T10:06:34.874,41.660,98878.172
1636988795009,2021-11-15T10:06:35.009,41.795,98878.531
1636988795145,2021-11-15T10:06:35.145,41.931,98878.938
1636988795281,2021-11-15T10:06:35.281,42.067,98880.266
1636988795416,2021-11-15T10:06:35.416,42.202,98876.844
1636988795552,2021-11-15T10:06:35.552,42.338,98877.594
1636988795688,2021-11-15T10:06:35.688,42.474,98873.594
1636988795823,2021-11-15T10:06:35.823,42.609,98878.172
1636988795959,2021-11-15T10:06:35.959,42.745,98878.938
1636988796094,2021-11-15T10:06:36.094,42.880,98877.055
1636988796230,2021-11-15T10:06:36.230,43.016,98877.594
1636988796367,2021-11-15T10:06:36.367,43.153,98878.172
1636988796501,2021-11-15T10:06:36.501,43.287,98880.484
1636988796638,2021-11-15T10:06:36.638,43.424,98874.922
1636988796774,2021-11-15T10:06:36.774,43.560,98876.266
1636988796909,2021-11-15T10:06:36.909,43.695,98879.148
1636988797045,2021-11-15T10:06:37.045,43.831,98877.813
1636988797180,2021-11-15T10:06:37.180,43.966,98877.234
1636988797316,2021-11-15T10:06:37.316,44.102,98879.727
1636988797452,2021-11-15T10:06:37.452,44.238,98877.234
1636988797587,2021-11-15T10:06:37.587,44.373,98877.234
1636988797723,2021-11-15T10:06:37.723,44.509,98876.477
1636988797859,2021-11-15T10:06:37.859,44.645,98875.141
1636988797994,2021-11-15T10:06:37.994,44.780,98875.352
1636988798130,2021-11-15T10:06:38.130,44.916,98879.148
1636988798266,2021-11-15T10:06:38.266,45.052,98879.359
1636988798401,2021-11-15T10:06:38.401,45.187,98879.906
1636988798537,2021-11-15T10:06:38.537,45.323,98879.359
1636988798672,2021-11-15T10:06:38.672,45.458,98880.703
1636988798808,2021-11-15T10:06:38.808,45.594,98876.688
1636988798945,2021-11-15T10:06:38.945,45.731,98882.797
1636988799079,2021-11-15T10:06:39.079,45.865,98882.031
1636988799216,2021-11-15T10:06:39.216,46.002,98885.469
1636988799352,2021-11-15T10:06:39.352,46.138,98882.250
1636988799487,2021-11-15T10:06:39.487,46.273,98882.031
1636988799623,2021-11-15T10:06:39.623,46.409,98887.781
1636988799759,2021-11-15T10:06:39.759,46.545,98879.000
1636988799894,2021-11-15T10:06:39.894,46.680,98883.008
1636988800030,2021-11-15T10:06:40.030,46.816,98884.344
1636988800166,2021-11-15T10:06:40.166,46.952,98881.672
1636988800301,2021-11-15T10:06:40.301,47.087,98882.430
1636988800437,2021-11-15T10:06:40.437,47.223,98879.758
1636988800574,2021-11-15T10:06:40.574,47.360,98882.430
1636988800708,2021-11-15T10:06:40.708,47.494,98881.094
1636988800845,2021-11-15T10:06:40.845,47.631,98881.094
1636988800979,2021-11-15T10:06:40.979,47.765,98879.758
1636988801116,2021-11-15T10:06:41.116,47.902,98883.984
1636988801252,2021-11-15T10:06:41.252,48.038,98886.078
1636988801387,2021-11-15T10:06:41.387,48.173,98877.875
1636988801523,2021-11-15T10:06:41.523,48.309,98878.063
1636988801659,2021-11-15T10:06:41.659,48.445,98879.219
1636988801794,2021-11-15T10:06:41.794,48.580,98880.734
1636988801930,2021-11-15T10:06:41.930,48.716,98875.203
1636988802065,2021-11-15T10:06:42.065,48.851,98877.297
1636988802201,2021-11-15T10:06:42.201,48.987,98871.953
1636988802337,2021-11-15T10:06:42.337,49.123,98874.047
1636988802472,2021-11-15T10:06:42.472,49.258,98876.180
1636988802608,2021-11-15T10:06:42.608,49.394,98878.641
1636988802745,2021-11-15T10:06:42.745,49.531,98880.188
1636988802879,2021-11-15T10:06:42.879,49.665,98875.391
1636988803016,2021-11-15T10:06:43.016,49.802,98880.188
1636988803152,2021-11-15T10:06:43.152,49.938,98875.969
1636988803286,2021-11-15T10:06:43.286,50.072,98879.031
1636988803423,2021-11-15T10:06:43.423,50.209,98880.188
1636988803559,2021-11-15T10:06:43.559,50.345,98878.852
1636988803694,2021-11-15T10:06:43.694,50.480,98880.367
1636988803830,2021-11-15T10:06:43.830,50.616,98876.180
1636988803966,2021-11-15T10:06:43.966,50.752,98882.281
1636988804101,2021-11-15T10:06:44.101,50.887,98880.367
1636988804237,2021-11-15T10:06:44.237,51.023,98878.266
1636988804372,2021-11-15T10:06:44.372,51.158,98873.688
1636988804508,2021-11-15T10:06:44.508,51.294,98877.695
