epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1650900595024,2022-04-25T11:29:55.024,32.159,98433.047
1650900595160,2022-04-25T11:29:55.160,32.295,98435.930
1650900595296,2022-04-25T11:29:55.296,32.431,98435.141
1650900595431,2022-04-25T11:29:55.431,32.566,98435.930
1650900595567,2022-04-25T11:29:55.567,32.702,98439.352
1650900595704,2022-04-25T11:29:55.704,32.839,98435.141
1650900595838,2022-04-25T11:29:55.838,32.973,98435.930
1650900595975,2022-04-25T11:29:55.975,33.110,98436.438
1650900596109,2022-04-25T11:29:56.109,33.244,98434.625
1650900596246,2022-04-25T11:29:56.246,33.381,98437.453
1650900596382,2022-04-25T11:29:56.382,33.517,98435.641
1650900596517,2022-04-25T11:29:56.517,33.652,98437.227
1650900596653,2022-04-25T11:29:56.653,33.788,98433.547
1650900596789,2022-04-25T11:29:56.789,33.924,98433.828
1650900596924,2022-04-25T11:29:56.924,34.059,98436.438
1650900597060,2022-04-25T11:29:57.060,34.195,98432.250
1650900597196,2022-04-25T11:29:57.196,34.331,98430.945
1650900597331,2022-04-25T11:29:57.331,34.466,98433.547
1650900597467,2022-04-25T11:29:57.467,34.602,98433.547
1650900597602,2022-04-25T11:29:57.602,34.737,98437.453
1650900597738,2022-04-25T11:29:57.738,34.873,98436.625
1650900597874,2022-04-25T11:29:57.874,35.009,98436.156
1650900598009,2022-04-25T11:29:58.009,35.144,98437.453
1650900598145,2022-04-25T11:29:58.145,35.280,98434.023
1650900598282,2022-04-25T11:29:58.282,35.417,98438.750
1650900598416,2022-04-25T11:29:58.416,35.551,98432.719
1650900598553,2022-04-25T11:29:58.553,35.688,98434.531
1650900598687,2022-04-25T11:29:58.687,35.822,98435.328
1650900598824,2022-04-25T11:29:58.824,35.959,98437.453
1650900598960,2022-04-25T11:29:58.960,36.095,98433.234
1650900599095,2022-04-25T11:29:59.095,36.230,98435.828
1650900599231,2022-04-25T11:29:59.231,36.366,98433.234
